Year,Total plastic waste ,Residential & commercial (tonnes),commercial(co2 in tonnes),commercial methane,commercial(n2o),Cloth Waste,discarded,Recycled,incenerated,waste in ocean,methane_due_to_cloth,N2o_due_to_cloth,so2(milliontonnes),so2_due_to_cloth
1990,1.39,78497773.8,15699554.76,35520892.5,14805847.9,145950,118511.4,13281.45,14886.9,4378.5,1420835.7,592233.916,3.856055303,269923.8712
1991,1.62,85232354.1,17046470.82,36170423,15029636.9,170100,138121.2,15479.1,17350.2,5103,3255338.07,601185.476,3.978088001,278466.1601
1992,1.59,83521835.3,16704367.06,36443633.1,15233957.9,166950,135563.4,15192.45,17028.9,5008.5,3279926.979,609358.316,4.283169746,299821.8822
1993,1.41,81431134.5,16286226.9,36648383.3,15357523.9,148050,120216.6,13472.55,15101.1,4441.5,3298354.497,614300.956,4.222153397,295550.7378
1994,1.67,90351111.1,18070222.22,37023653.5,15585280.9,175350,142384.2,15956.85,17885.7,5260.5,3332128.815,623411.236,4.344186095,304093.0267
1995,1.75,91302665.9,18260533.18,37112273.6,15626541.9,183750,149205,16721.25,18742.5,5512.5,3340104.624,625061.676,4.58825149,321177.6043
1996,1.93,98706914.5,19741382.9,36722093.3,16054961.9,202650,164551.8,18441.15,20670.3,6079.5,3304988.397,642198.476,4.710284188,329719.8932
1997,2.65,108620843.9,21724168.78,36937763.4,16154533.9,278250,225939,25320.75,28381.5,8347.5,3324398.706,646181.356,4.832316886,338262.182
1998,2.08,92650801.9,18530160.38,36223763,16131810.9,218400,177340.8,19874.4,22276.8,6552,3260138.67,645272.436,5.137398631,359617.9042
1999,2.75,102345141.8,20469028.36,36703823.3,16476530.9,288750,234465,26276.25,29452.5,8662.5,3303344.097,659061.236,5.442480375,380973.6263
2000,2.52,98900000,19780000,36496740,16362079,264600,25137,215119.8,23549.4,6453.594,3284706.6,654483.16,5.674,397180
2001,2.71,97500000,19500000,36769740,16389018,284550,27032.25,231339.15,25324.95,6940.1745,3309276.6,655560.72,5.742,401940
2002,2.58,104000000,20800000,37517550,16591603,270900,25735.5,220241.7,24110.1,6607.251,3376579.5,663664.12,5.971,417970
2003,2.74,112000000,22400000,38662680,17036391,287700,27331.5,233900.1,25605.3,7017.003,3479641.2,681455.64,6.131,429170
2004,3.01,115000000,23000000,38652390,16976220,316050,30024.75,256948.65,28128.45,7708.4595,3478715.1,679048.8,6.576,460320
2005,3.32,117000000,23400000,39012960,16954055,348600,33117,283411.8,31025.4,8502.354,3511166.4,678162.2,6.852,479640
2006,3.52,123000000,24600000,39082260,17194677,369600,35112,300484.8,32894.4,9014.544,3517403.4,687787.08,7.186,503020
2007,3.85,144000000,28800000,40413240,17433067,404250,38403.75,328655.25,35978.25,9859.6575,3637191.6,697322.68,7.744,542080
2008,4.1,164000000,32800000,41709360,17623004,430500,40897.5,349996.5,38314.5,10499.895,3753842.4,704920.16,8.377,586390
2009,4.35,175000000,35000000,42663600,18074085,456750,43391.25,371337.75,40650.75,11140.1325,3839724,722963.4,9.056,633920
2010,4.49,163000000,32600000,42662550,18011310,471450,44787.75,383288.85,41959.05,11498.6655,3839629.5,720452.4,9.508,665560
2011,5.2,180701386.4,36140277.28,43184336.45,18815385.79,546000,51870,443898,48594,13316.94,3886590.281,752615.4316,10.149,710430
2012,5.8,197274663.2,39454932.64,44399923.74,19379850.32,609000,57855,495117,54201,14853.51,3995993.137,775194.0128,10.93395178,765376.6246
2013,6.4,213847939.9,42769587.98,45615511.02,19944314.86,672000,63840,546336,59808,16390.08,4105395.992,797772.5944,11.36106622,795274.6354
2014,7.12,233735871.9,46747174.38,47074215.77,20621672.3,747600,71022,607798.8,66536.4,18233.964,4236679.419,824866.892,11.91021336,833714.9352
2015,7.83,253347582.7,50669516.54,48512660.72,21289622,822150,78104.25,668407.95,73171.35,20052.2385,4366139.465,851584.88,12.4593605,872155.235
2016,8.2,263567770,52713554,49262272.88,21637708.47,861000,81795,699993,76629,20999.79,4433604.559,865508.3388,13.25257304,927680.1128
2017,8.9,282903259.5,56580651.9,50680458.05,22296250.42,934500,88777.5,759748.5,83170.5,22792.455,4561241.225,891850.0168,15.38814525,1077170.168
