Year,E-waste (million tonnes),so2(milliontonnes),Residential & commercial co2 emission(tonnes),E-easteCO2,Minimumdailyconcentration (Dobson Units (DU)),Meandailyconcentration (Dobson Units (DU)),commercialmethane,commercial(n2o),commercial(co2 in tonnes)
1990,0.36,3.856055303,78497773.8,26165924.6,111,124.2,35520892.5,14805847.9,39248886.9
1991,0.34,3.978088001,85232354.1,28410784.7,94,119,36170423,15029636.9,42616177.05
1992,0.31,4.283169746,83521835.3,27840611.77,105,114.3,36443633.1,15233957.9,41760917.65
1993,0.33,4.222153397,81431134.5,27143711.5,104,112.6,36648383.3,15357523.9,40715567.25
1994,0.38,4.344186095,90351111.1,30117037.03,73,92.3,37023653.5,15585280.9,45175555.55
1995,0.37,4.58825149,91302665.9,30434221.97,103,108.8,37112273.6,15626541.9,45651332.95
1996,0.39,4.710284188,98706914.5,32902304.83,99,108.8,36722093.3,16054961.9,49353457.25
1997,0.43,4.832316886,108620843.9,36206947.97,86,98.8,36937763.4,16154533.9,54310421.95
1998,0.45,5.137398631,92650801.9,30883600.63,97,102.9,36223763,16131810.9,46325400.95
1999,0.47,5.442480375,102345141.8,34115047.27,89,98.7,36703823.3,16476530.9,51172570.9
2000,0.52,5.674,98900000,32966666.67,91,100.9,36496740,16362079,49450000
2001,0.57,5.742,97500000,32500000,131,157.4,36769740,16389018,48750000
2002,0.63,5.971,104000000,34666666.67,91,108.7,37517550,16591603,52000000
2003,0.69,6.131,112000000,37333333.33,102,123.5,38662680,17036391,56000000
2004,0.75,6.576,115000000,38333333.33,103,113.8,38652390,16976220,57500000
2005,0.81,6.852,117000000,39000000,84,98.4,39012960,16954055,58500000
2006,0.9,7.186,123000000,41000000,108,116.2,39082260,17194677,61500000
2007,0.99,7.744,144000000,48000000,101,114,40413240,17433067,72000000
2008,1.01,8.377,164000000,54666666.67,97,107.9,41709360,17623004,82000000
2009,1.12,9.056,175000000,58333333.33,119,128.5,42663600,18074085,87500000
2010,1.25,9.508,163000000,54333333.33,95,106.5,42662550,18011310,81500000
2011,1.34,10.149,180701386.4,60233795.47,124,139.3,43184336.45,18815385.79,90350693.22
2012,1.47,10.93395178,197274663.2,65758221.07,116,132.7,44399923.74,19379850.32,98637331.58
2013,1.54,11.36106622,213847939.9,71282646.63,114,128.6,45615511.02,19944314.86,106923969.9
2014,1.63,11.91021336,233735871.9,77911957.3,101,117.2,47074215.77,20621672.3,116867936
2015,1.72,12.4593605,253347582.7,84449194.23,114,123.2,48512660.72,21289622,126673791.4
2016,1.85,13.25257304,263567770,87855923.33,131,141.8,49262272.88,21637708.47,131783885
2017,2.2,15.38814525,282903259.5,94301086.5,133,147.6,50680458.05,22296250.42,141451629.8
